1,1
1,6548
1,9491
1,16892
1,22007
1,34183
1,42225
1,46351
2,3832
2,5644
2,5644,37279
2,9863
2,33851
2,38481
2,38568
2,41932
3,1136,26091
3,2558,26091
3,13496,26091
3,16832
3,19838,26091
3,26091
3,26091,27197
3,26091,39642
3,26091,43796
3,26091,47871
3,47871
4,18423
4,23325
4,26420
4,27110
4,27206
4,27643
4,32002
4,39885
4,44644
5,5675
5,6639
5,10676
5,13162
5,17450
5,37735
6,1816
6,4565
6,18910
7,11185,41123
7,15613
7,19551
7,20461
7,28680
7,31943
7,41123
7,49203
8,2114
8,2323
8,3504
8,5011
8,16240
8,19056
8,19056,38412,43694
8,23187
8,23833
8,31480
8,32094
8,36652
8,38412
8,43694
8,46665
9,11034
9,22801
9,23948
9,25714
9,29345
9,36459
9,37717
9,41208
10,3631
10,11106
10,16784
10,17701
10,18713
10,21090
10,21351
10,23896
10,33359
10,33772
10,38254
10,49605
11,11
11,6199
11,16034
11,16276
11,30193
11,47129
12,5983,22868
12,10788
12,18835
12,22868
12,25732
12,36855
12,39780
12,44284
12,44361
13,255
13,4483
13,6860
13,9382
13,10555
13,12474
13,24129
13,34926
13,37247
13,37918
13,41712
14,717
14,7365,16061
14,14803
14,26560
14,32213
14,44707
14,46028
15,3559
15,6153
15,11120
15,12773
15,12882
15,23869
15,26764
15,27793
15,32530
15,35949
15,43442
15,43829
15,45835
15,48476
16,9539
16,28069
16,35166
16,39519
16,45339
17,61
17,11357
17,17908,18972
17,18972
17,21834
17,32782
17,34513
17,36747
17,46641
18,3111
18,6164
18,10752
18,20582
18,23804
18,25512
18,41645
18,45495
18,47926
19,19
19,5550
19,11325
19,11957
19,21480
19,32694
19,41007
19,47601
20,2803
20,6201
20,16740
20,17480
20,27948
20,46898
21,5871
21,12351
21,15451
21,16800
21,30612
21,39463
21,40138
21,48168
21,49607
22,15489
22,18936
22,19315
22,21253
22,28878
23,8319
23,14525
23,18339
23,24573
23,33491
23,44001
23,44753
24,839
24,10286
24,12329
24,26402
24,48617
25,3749
25,3761,46361
25,6981
25,15379
25,25038,46361
25,26242
25,46361
26,8899
26,18227
26,18729
26,19485
26,21169
26,29608,39567
26,31652
26,36964
26,38988
26,38988,46119
27,2243
27,7651
27,17055
27,25347
27,45755
28,7625
28,8710
28,15955
28,16552
28,36959
28,40361
28,40475
29,5236
